games	name	rating	years
168	ANTIPOV, Mikhail	2529	2007-2015
185	ABDULLA, Al-Rakib	2535	1992-2014
132	ABASOV, Nijat	2536	2005-2015
55	AJRAPETJAN, Yuriy	2537	2001-2014
137	ARNOLD, Marc Tyler	2540	2001-2013
135	ARKHIPOV, Sergey	2540	1978-2002
160	ANISIMOV, Pavel	2541	1996-2013
176	AMANOV, Mesgen	2541	1999-2014
179	AAGAARD, Jacob	2542	1991-2014
533	ARKELL, Keith	2545	1977-2015
123	ANTAL, Gergely	2545	1995-2012
111	ANTUNES, Antonio	2545	1980-2000
148	AVESKULOV, Valeriy	2545	2000-2010
196	ABERGEL, Thal	2547	2000-2014
870	ALBURT, Lev	2550	1965-2012
237	APPEL, Ralf	2552	1989-2015
310	APICELLA, Manuel	2555	1984-2013
318	ARNASON, Jon Loftur	2555	1973-2005
23	ALVAREZ, Roberto Gabriel	2557	1998-2000
22	ASKAROV, Marat	2561	1997-2010
1497	ADORJAN, Andras	2565	1963-2000
64	ANTONSEN, Mikkel	2568	1988-2010
84	ABBASOV, Farid	2578	1998-2011
368	ASHLEY, Maurice	2579	1988-2013
515	ARENCIBIA, Walter	2579	1984-2012
111	AROSHIDZE, Levan	2582	1999-2012
366	AL-MODIAHKI, Mohamad	2585	1988-2014
289	ANTONIO, Rogelio	2589	1987-2013
143	AGZAMOV, Georgy Tadzhikanovich	2590	1973-1986
66	ALESHNYA, Valery Valentinovich	2590	1997-2009
278	ASEEV, Konstantin	2591	1980-2003
229	ARUTINIAN, David	2593	1999-2013
30	AUNG, Aung Myo Hlaing Aung	2595	1999-2011
331	ALVAREZ, Alejandro Ramirez	2601	1995-2014
462	ANASTASIAN, Ashot	2606	1983-2011
370	ACS, Peter	2607	1992-2015
146	ANTONIEWSKI, Rafal	2614	1993-2014
190	ALTERMAN, Boris	2615	1983-2012
457	AGREST, Evgenij	2616	1980-2014
24	ANTON, Volker-Michael	2630	1984-1996
711	ADIANTO, Utut	2634	1980-2013
592	ATALIK, Suat	2636	1986-2014
519	AGDESTEIN, Simen	2637	1982-2015
305	ADLY, Ahmed	2640	1998-2015
2306	ANDERSSON, Ulf	2640	1967-2014
447	ANDRIASIAN, Zaven	2645	2001-2015
25	AFROMEEV, Vladimir	2646	2000-2007
276	ADHIBAN, Baskaran	2646	2008-2015
441	ASRIAN, Karen	2646	1993-2008
318	AMONATOV, Farrukh	2650	1993-2014
896	AKOBIAN, Varuzhan	2653	1993-2015
326	AMIN, Bassem	2665	2001-2015
483	AZAROV, Sergei	2667	1992-2014
557	AVRUKH, Boris	2668	1992-2014
159	ARTEMIEV, Vladislav	2671	2011-2015
771	ALEKSANDROV, Aleksej	2679	1987-2015
1017	AZMAIPARASHVILI, Zurab	2679	1968-2008
26	ALLAHVERDIYEV, Anar	2689	1993-2011
1276	AKOPIAN, Vladimir	2713	1984-2015
714	ARESHCHENKO, Alexander	2720	2000-2015
864	ALEKSEEV, Evgeny	2725	1998-2015
1011	ALMASI, Zoltan	2726	1990-2015
696	ANDREIKIN, Dmitry	2727	1999-2015
2582	ADAMS, Michael	2761	1984-2015
2859	ANAND, Viswanathan	2817	1984-2015
1948	ARONIAN, Levon	2830	1993-2015
